
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:26896        127.0.0.1:26897        ESTABLISHED
  TCP    127.0.0.1:26897        127.0.0.1:26896        ESTABLISHED
  TCP    127.0.0.1:26912        127.0.0.1:26913        ESTABLISHED
  TCP    127.0.0.1:26913        127.0.0.1:26912        ESTABLISHED
  TCP    192.168.43.183:7276    47.246.50.230:80       CLOSE_WAIT
  TCP    192.168.43.183:15831   64.233.166.188:443     ESTABLISHED
  TCP    192.168.43.183:23541   185.199.109.154:443    ESTABLISHED
  TCP    192.168.43.183:26895   162.125.35.134:443     ESTABLISHED
  TCP    192.168.43.183:26911   47.246.50.230:80       CLOSE_WAIT
  TCP    192.168.43.183:32747   185.199.109.133:443    ESTABLISHED
  TCP    192.168.43.183:49489   13.33.232.130:443      ESTABLISHED
  TCP    192.168.43.183:53862   140.82.113.25:443      ESTABLISHED
  TCP    192.168.43.183:54546   162.125.35.136:443     ESTABLISHED

